All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           final.contigs
# misassemblies                    0            
    # relocations                  0            
    # translocations               0            
    # inversions                   0            
    # interspecies translocations  0            
# misassembled contigs             0            
Misassembled contigs length        0            
# possibly misassembled contigs    2            
    # possible misassemblies       3            
# local misassemblies              1            
# unaligned mis. contigs           5            
# mismatches                       1654         
# indels                           61           
    # indels (<= 5 bp)             61           
    # indels (> 5 bp)              0            
Indels length                      69           
