Assemblies                                    final.contigs
Alcanivorax_jadensis_T9                       305          
Dehalogenimonas_lykanthroporepellens_BL-DC-9  -            
Flavobacterium_sp._SCGC_AAA160-P02            782          
Formosa_algae                                 1510         
Ilumatobacter_fluminis                        568          
Janibacter_sp._HTCC2649                       914          
Lautropia_mirabilis_ATCC_51599                77           
Legionella_santicrucis                        483          
Luminiphilus_syltensis_NOR5-1B                3250         
Marinimicrobium_agarilyticum_DSM_16975        154          
Melissococcus_plutonius_DAT561                -            
Methanococcoides_methylutens                  -            
Microbulbifer_yueqingensis                    664          
Oceanicola_granulosus_HTCC2516                1024         
Planctomyces_brasiliensis_DSM_5305            153          
Planctomyces_maris_DSM_8797                   233          
Rhodobacteraceae_bacterium_KLH11              3419         
Ruegeria_pomeroyi                             1839         
Serratia_symbiotica                           77           
Sporosarcina_sp._EUR3_2.2.2                   -            
Synechococcus_sp._WH_7803                     36339        
Syntrophus_aciditrophicus                     94           
Thalassolituus_oleivorans_R6-15               460          
Thalassospira_xiamenensis_M-5___DSM_17429     329          
Thermoplasmatales_archaeon_A-plasma           -            
gamma_proteobacterium_SCGC_AB-629-P17         1949         
marine_gamma_proteobacterium_HTCC2080         1752         
