Assemblies                                  final.contigs
Alcanivorax_jadensis_T9                     0            
Aquimarina_sp._22II-S11-z7                  0            
Flavobacteriales_bacterium_ALC-1            0            
Formosa_algae                               0            
Geobacter_pickeringii                       0            
Geopsychrobacter_electrodiphilus_DSM_16401  -            
Idiomarina_indica                           0            
Ilumatobacter_coccineus_YM16-304            0            
Ilumatobacter_fluminis                      0            
Kitasatospora_mediocidica_KCTC_9733         0            
Luminiphilus_syltensis_NOR5-1B              0            
Magnetococcus_marinus                       0            
Marivirga_tractuosa                         0            
Nitrospina_sp._SCGC_AAA288-L16              0            
Owenweeksia_hongkongensis_DSM_17368         0            
Parcubacteria_bacterium_SCGC_AAA011-N16     -            
Pseudomonas_rhizosphaerae                   -            
Psychrobacter_sp._PRwf-1                    0            
Puniceicoccus_vermicola                     -            
Shewanella_amazonensis_SB2B                 0            
Solibacillus_silvestris_StLB046             -            
Sporosarcina_sp._EUR3_2.2.2                 -            
Sulfitobacter_sp._NAS-14.1                  0            
Syntrophus_aciditrophicus                   0            
gamma_proteobacterium_BW-2                  0            
