All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           final.contigs
# misassemblies                    1            
    # relocations                  1            
    # translocations               0            
    # inversions                   0            
    # interspecies translocations  0            
# misassembled contigs             1            
Misassembled contigs length        986          
# possibly misassembled contigs    1            
    # possible misassemblies       1            
# local misassemblies              0            
# unaligned mis. contigs           1            
# mismatches                       9928         
# indels                           86           
    # indels (<= 5 bp)             84           
    # indels (> 5 bp)              2            
Indels length                      131          
