Assemblies	final.contigs
Alcanivorax_jadensis_T9	0.004
Dehalogenimonas_lykanthroporepellens_BL-DC-9	-
Flavobacterium_sp._SCGC_AAA160-P02	0.024
Formosa_algae	0.014
Ilumatobacter_fluminis	0.010
Janibacter_sp._HTCC2649	0.016
Lautropia_mirabilis_ATCC_51599	0.002
Legionella_santicrucis	0.010
Luminiphilus_syltensis_NOR5-1B	0.078
Marinimicrobium_agarilyticum_DSM_16975	0.002
Melissococcus_plutonius_DAT561	-
Methanococcoides_methylutens	-
Microbulbifer_yueqingensis	0.014
Oceanicola_granulosus_HTCC2516	0.021
Planctomyces_brasiliensis_DSM_5305	0.003
Planctomyces_maris_DSM_8797	0.002
Rhodobacteraceae_bacterium_KLH11	0.054
Ruegeria_pomeroyi	0.029
Serratia_symbiotica	0.003
Sporosarcina_sp._EUR3_2.2.2	-
Synechococcus_sp._WH_7803	1.500
Syntrophus_aciditrophicus	0.003
Thalassolituus_oleivorans_R6-15	0.006
Thalassospira_xiamenensis_M-5___DSM_17429	0.007
Thermoplasmatales_archaeon_A-plasma	-
gamma_proteobacterium_SCGC_AB-629-P17	0.127
marine_gamma_proteobacterium_HTCC2080	0.038
