Assembly	final.contigs
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	52633
Total length (>= 5000 bp)	46083
Total length (>= 10000 bp)	40848
Total length (>= 25000 bp)	40848
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	40848
Total length	53938
Reference length	4235068
GC (%)	48.31
Reference GC (%)	68.44
N50	40848
N75	40848
L50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 5 part
Unaligned length	51878
Genome fraction (%)	0.016
Duplication ratio	3.116
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1059.00
# indels per 100 kbp	605.14
Largest alignment	277
Total aligned length	914
NGA50	-
