Assembly	final.contigs
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	813
Total length	1570
Reference length	4719581
GC (%)	58.03
Reference GC (%)	54.17
N50	813
N75	757
L50	1
L75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 2 part
Unaligned length	1344
Genome fraction (%)	0.002
Duplication ratio	2.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	4424.78
# indels per 100 kbp	0.00
Largest alignment	113
Total aligned length	226
NGA50	-
