Assemblies	final.contigs
Alcanivorax_jadensis_T9	367988
Aquimarina_sp._22II-S11-z7	22913
Flavobacteriales_bacterium_ALC-1	12206
Formosa_algae	46297
Geobacter_pickeringii	10495
Geopsychrobacter_electrodiphilus_DSM_16401	-
Idiomarina_indica	15726
Ilumatobacter_coccineus_YM16-304	237483
Ilumatobacter_fluminis	97395
Kitasatospora_mediocidica_KCTC_9733	2807
Luminiphilus_syltensis_NOR5-1B	136393
Magnetococcus_marinus	1570
Marivirga_tractuosa	1743
Nitrospina_sp._SCGC_AAA288-L16	35756
Owenweeksia_hongkongensis_DSM_17368	11383
Parcubacteria_bacterium_SCGC_AAA011-N16	-
Pseudomonas_rhizosphaerae	-
Psychrobacter_sp._PRwf-1	13071
Puniceicoccus_vermicola	-
Shewanella_amazonensis_SB2B	6280
Solibacillus_silvestris_StLB046	-
Sporosarcina_sp._EUR3_2.2.2	-
Sulfitobacter_sp._NAS-14.1	81705
Syntrophus_aciditrophicus	2982
gamma_proteobacterium_BW-2	39888
not_aligned	235384305
