Assemblies	final.contigs
Alcanivorax_jadensis_T9	333
Aquimarina_sp._22II-S11-z7	1303
Flavobacteriales_bacterium_ALC-1	756
Formosa_algae	1153
Geobacter_pickeringii	154
Geopsychrobacter_electrodiphilus_DSM_16401	-
Idiomarina_indica	688
Ilumatobacter_coccineus_YM16-304	1192
Ilumatobacter_fluminis	2354
Kitasatospora_mediocidica_KCTC_9733	212
Luminiphilus_syltensis_NOR5-1B	3014
Magnetococcus_marinus	226
Marivirga_tractuosa	156
Nitrospina_sp._SCGC_AAA288-L16	508
Owenweeksia_hongkongensis_DSM_17368	392
Parcubacteria_bacterium_SCGC_AAA011-N16	-
Pseudomonas_rhizosphaerae	-
Psychrobacter_sp._PRwf-1	297
Puniceicoccus_vermicola	-
Shewanella_amazonensis_SB2B	346
Solibacillus_silvestris_StLB046	-
Sporosarcina_sp._EUR3_2.2.2	-
Sulfitobacter_sp._NAS-14.1	3138
Syntrophus_aciditrophicus	254
gamma_proteobacterium_BW-2	474
