Assemblies	final.contigs
Alcanivorax_jadensis_T9	4
Dehalogenimonas_lykanthroporepellens_BL-DC-9	-
Flavobacterium_sp._SCGC_AAA160-P02	10
Formosa_algae	19
Ilumatobacter_fluminis	5
Janibacter_sp._HTCC2649	7
Lautropia_mirabilis_ATCC_51599	1
Legionella_santicrucis	4
Luminiphilus_syltensis_NOR5-1B	26
Marinimicrobium_agarilyticum_DSM_16975	2
Melissococcus_plutonius_DAT561	-
Methanococcoides_methylutens	-
Microbulbifer_yueqingensis	7
Oceanicola_granulosus_HTCC2516	12
Planctomyces_brasiliensis_DSM_5305	2
Planctomyces_maris_DSM_8797	3
Rhodobacteraceae_bacterium_KLH11	25
Ruegeria_pomeroyi	10
Serratia_symbiotica	1
Sporosarcina_sp._EUR3_2.2.2	-
Synechococcus_sp._WH_7803	76
Syntrophus_aciditrophicus	1
Thalassolituus_oleivorans_R6-15	4
Thalassospira_xiamenensis_M-5___DSM_17429	4
Thermoplasmatales_archaeon_A-plasma	-
gamma_proteobacterium_SCGC_AB-629-P17	9
marine_gamma_proteobacterium_HTCC2080	16
not_aligned	204653
