Assemblies	final.contigs
Alcanivorax_jadensis_T9	0.00
Aquimarina_sp._22II-S11-z7	2280.13
Flavobacteriales_bacterium_ALC-1	2248.68
Formosa_algae	2129.63
Geobacter_pickeringii	2597.40
Geopsychrobacter_electrodiphilus_DSM_16401	-
Idiomarina_indica	2616.82
Ilumatobacter_coccineus_YM16-304	1455.77
Ilumatobacter_fluminis	2214.98
Kitasatospora_mediocidica_KCTC_9733	4716.98
Luminiphilus_syltensis_NOR5-1B	2019.00
Magnetococcus_marinus	4424.78
Marivirga_tractuosa	641.03
Nitrospina_sp._SCGC_AAA288-L16	590.55
Owenweeksia_hongkongensis_DSM_17368	1534.53
Parcubacteria_bacterium_SCGC_AAA011-N16	-
Pseudomonas_rhizosphaerae	-
Psychrobacter_sp._PRwf-1	0.00
Puniceicoccus_vermicola	-
Shewanella_amazonensis_SB2B	1724.14
Solibacillus_silvestris_StLB046	-
Sporosarcina_sp._EUR3_2.2.2	-
Sulfitobacter_sp._NAS-14.1	1588.98
Syntrophus_aciditrophicus	1968.50
gamma_proteobacterium_BW-2	617.28
