Assembly	final.contigs
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	1882
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	1882
Total length	1882
Reference length	3151925
GC (%)	51.49
Reference GC (%)	65.58
N50	1882
N75	1882
L50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 1 part
Unaligned length	1805
Genome fraction (%)	0.002
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	3896.10
# indels per 100 kbp	0.00
Largest alignment	77
Total aligned length	77
NGA50	-
