#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
k119_388531_11       -            147 Ribosom_S12_S23      PF00164.20   122   3.5e-36  120.1   1.0   1   1   2.9e-39   4.6e-36  119.7   1.0     8   121    28   144    10   145 0.94 # 6894 # 7334 # 1 # ID=122_11;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.610
k119_388531_12       -            212 Ribosomal_S7         PF00177.16   148   3.8e-31  104.5   0.0   1   1   2.9e-34   4.6e-31  104.2   0.0    17   148    71   211    56   211 0.91 # 7353 # 7988 # 1 # ID=122_12;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.638
k119_343532_5        -            240 Ribosomal_L2         PF00181.18    77   1.1e-06   25.4   0.0   1   1   1.4e-09   2.3e-06   24.3   0.0    29    75    31    77     4    79 0.74 # 2033 # 2752 # -1 # ID=143_5;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.685
k119_343532_2        -            275 Ribosomal_S3_C       PF00189.15    85   5.4e-16   55.4   0.2   1   1   7.5e-19   1.2e-15   54.3   0.2     2    85   103   186   102   186 0.96 # 157 # 981 # -1 # ID=143_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.645
k119_343532_4        -            166 Ribosomal_S19        PF00203.16    81   1.7e-23   78.8   0.0   1   1   1.7e-26   2.7e-23   78.2   0.0    26    81    93   148    71   148 0.89 # 1529 # 2026 # -1 # ID=143_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.675
k119_343532_3        -            179 Ribosomal_L22        PF00237.14   105   9.1e-29   96.3   0.7   1   1   7.1e-32   1.1e-28   96.0   0.7     1   104    28   167    28   168 0.97 # 981 # 1517 # -1 # ID=143_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.629
k119_366971_4        -            133 Ribosomal_L14        PF00238.14   122   9.3e-39  128.8   0.0   1   1   6.6e-42     1e-38  128.6   0.0     3   122    13   132    11   132 0.96 # 832 # 1230 # 1 # ID=135_4;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.664
k119_193258_7        -            180 Ribosomal_L16        PF00252.13   133   4.6e-29   97.7   0.3   1   1   3.5e-32   5.5e-29   97.4   0.3     1   132     5   167     5   169 0.90 # 4792 # 5331 # -1 # ID=134_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.644
k119_343532_6        -             96 Ribosomal_L23        PF00276.15    92   1.2e-12   44.4   1.1   1   1   5.5e-15   8.7e-12   41.7   1.1     5    64    18    72     4    87 0.75 # 2770 # 3057 # -1 # ID=143_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.597
k119_366971_7        -            175 Ribosomal_L5         PF00281.14    56   3.1e-13   46.1   0.3   1   1   4.2e-16   6.7e-13   45.0   0.1     2    51     6    53     5    58 0.95 # 2356 # 2880 # 1 # ID=135_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.634
k119_35622_9         -             93 Ribosomal_L11        PF00298.14    69   7.4e-08   29.3   0.2   1   1   7.7e-11   1.2e-07   28.6   0.2    11    69    13    70     6    70 0.82 # 11455 # 11733 # 1 # ID=68_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.595
