Assemblies                                  final.contigs
Alcanivorax_jadensis_T9                     87           
Aquimarina_sp._22II-S11-z7                  377          
Flavobacteriales_bacterium_ALC-1            377          
Formosa_algae                               377          
Geobacter_pickeringii                       86           
Geopsychrobacter_electrodiphilus_DSM_16401  -            
Idiomarina_indica                           278          
Ilumatobacter_coccineus_YM16-304            130          
Ilumatobacter_fluminis                      248          
Kitasatospora_mediocidica_KCTC_9733         212          
Luminiphilus_syltensis_NOR5-1B              869          
Magnetococcus_marinus                       113          
Marivirga_tractuosa                         81           
Nitrospina_sp._SCGC_AAA288-L16              93           
Owenweeksia_hongkongensis_DSM_17368         239          
Parcubacteria_bacterium_SCGC_AAA011-N16     -            
Pseudomonas_rhizosphaerae                   -            
Psychrobacter_sp._PRwf-1                    79           
Puniceicoccus_vermicola                     -            
Shewanella_amazonensis_SB2B                 95           
Solibacillus_silvestris_StLB046             -            
Sporosarcina_sp._EUR3_2.2.2                 -            
Sulfitobacter_sp._NAS-14.1                  363          
Syntrophus_aciditrophicus                   107          
gamma_proteobacterium_BW-2                  84           
