Assemblies	final.contigs
Alcanivorax_jadensis_T9	625.00
Dehalogenimonas_lykanthroporepellens_BL-DC-9	-
Flavobacterium_sp._SCGC_AAA160-P02	1231.53
Formosa_algae	1204.82
Ilumatobacter_fluminis	2429.15
Janibacter_sp._HTCC2649	1059.00
Lautropia_mirabilis_ATCC_51599	3896.10
Legionella_santicrucis	2474.23
Luminiphilus_syltensis_NOR5-1B	2520.68
Marinimicrobium_agarilyticum_DSM_16975	0.00
Melissococcus_plutonius_DAT561	-
Methanococcoides_methylutens	-
Microbulbifer_yueqingensis	1737.45
Oceanicola_granulosus_HTCC2516	806.45
Planctomyces_brasiliensis_DSM_5305	0.00
Planctomyces_maris_DSM_8797	641.03
Rhodobacteraceae_bacterium_KLH11	2184.67
Ruegeria_pomeroyi	3016.59
Serratia_symbiotica	1298.70
Sporosarcina_sp._EUR3_2.2.2	-
Synechococcus_sp._WH_7803	3097.98
Syntrophus_aciditrophicus	0.00
Thalassolituus_oleivorans_R6-15	1731.60
Thalassospira_xiamenensis_M-5___DSM_17429	914.63
Thermoplasmatales_archaeon_A-plasma	-
gamma_proteobacterium_SCGC_AB-629-P17	2937.92
marine_gamma_proteobacterium_HTCC2080	1855.98
