Assembly	final.contigs
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	11679
Total length (>= 5000 bp)	7441
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	7441
Total length	13071
Reference length	2995049
GC (%)	39.10
Reference GC (%)	44.84
N50	7441
N75	4238
L50	1
L75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 3 part
Unaligned length	12114
Genome fraction (%)	0.007
Duplication ratio	4.390
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
Largest alignment	79
Total aligned length	297
NGA50	-
