Assembly	final.contigs
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	17362
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	4213
Total length	20843
Reference length	4053139
GC (%)	49.24
Reference GC (%)	70.41
N50	2628
N75	1687
L50	4
L75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 9 part
Unaligned length	18345
Genome fraction (%)	0.021
Duplication ratio	2.878
# N's per 100 kbp	0.00
# mismatches per 100 kbp	806.45
# indels per 100 kbp	230.41
Largest alignment	102
Total aligned length	1024
NGA50	-
