Assembly	final.contigs
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	10308
Total length (>= 5000 bp)	7992
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	7992
Total length	12063
Reference length	4775416
GC (%)	58.81
Reference GC (%)	68.59
N50	7992
N75	1193
L50	1
L75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 5 part
Unaligned length	11495
Genome fraction (%)	0.010
Duplication ratio	1.150
# N's per 100 kbp	0.00
# mismatches per 100 kbp	2429.15
# indels per 100 kbp	0.00
Largest alignment	225
Total aligned length	568
NGA50	-
