Assemblies	final.contigs
Alcanivorax_jadensis_T9	8.250
Dehalogenimonas_lykanthroporepellens_BL-DC-9	-
Flavobacterium_sp._SCGC_AAA160-P02	4.655
Formosa_algae	5.246
Ilumatobacter_fluminis	1.150
Janibacter_sp._HTCC2649	3.116
Lautropia_mirabilis_ATCC_51599	1.000
Legionella_santicrucis	3.109
Luminiphilus_syltensis_NOR5-1B	3.755
Marinimicrobium_agarilyticum_DSM_16975	2.000
Melissococcus_plutonius_DAT561	-
Methanococcoides_methylutens	-
Microbulbifer_yueqingensis	2.373
Oceanicola_granulosus_HTCC2516	2.878
Planctomyces_brasiliensis_DSM_5305	5.993
Planctomyces_maris_DSM_8797	1.494
Rhodobacteraceae_bacterium_KLH11	3.033
Ruegeria_pomeroyi	2.460
Serratia_symbiotica	1.000
Sporosarcina_sp._EUR3_2.2.2	-
Synechococcus_sp._WH_7803	1.192
Syntrophus_aciditrophicus	1.000
Thalassolituus_oleivorans_R6-15	8.165
Thalassospira_xiamenensis_M-5___DSM_17429	3.659
Thermoplasmatales_archaeon_A-plasma	-
gamma_proteobacterium_SCGC_AB-629-P17	1.343
marine_gamma_proteobacterium_HTCC2080	2.941
