Assemblies	final.contigs
Alcanivorax_jadensis_T9	6026
Dehalogenimonas_lykanthroporepellens_BL-DC-9	-
Flavobacterium_sp._SCGC_AAA160-P02	17172
Formosa_algae	38778
Ilumatobacter_fluminis	12063
Janibacter_sp._HTCC2649	53938
Lautropia_mirabilis_ATCC_51599	1882
Legionella_santicrucis	4409
Luminiphilus_syltensis_NOR5-1B	31115
Marinimicrobium_agarilyticum_DSM_16975	5732
Melissococcus_plutonius_DAT561	-
Methanococcoides_methylutens	-
Microbulbifer_yueqingensis	9099
Oceanicola_granulosus_HTCC2516	20843
Planctomyces_brasiliensis_DSM_5305	3762
Planctomyces_maris_DSM_8797	23992
Rhodobacteraceae_bacterium_KLH11	47591
Ruegeria_pomeroyi	15509
Serratia_symbiotica	2054
Sporosarcina_sp._EUR3_2.2.2	-
Synechococcus_sp._WH_7803	131736
Syntrophus_aciditrophicus	11770
Thalassolituus_oleivorans_R6-15	2562
Thalassospira_xiamenensis_M-5___DSM_17429	3421
Thermoplasmatales_archaeon_A-plasma	-
gamma_proteobacterium_SCGC_AB-629-P17	41647
marine_gamma_proteobacterium_HTCC2080	19435
not_aligned	249342516
