Assembly	final.contigs
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	2807
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	2807
Total length	2807
Reference length	8681761
GC (%)	49.45
Reference GC (%)	71.90
N50	2807
N75	2807
L50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 1 part
Unaligned length	2595
Genome fraction (%)	0.002
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	4716.98
# indels per 100 kbp	0.00
Largest alignment	212
Total aligned length	212
NGA50	-
