Assembly	final.contigs
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	7799
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	2017
Total length	9099
Reference length	3664854
GC (%)	39.04
Reference GC (%)	62.01
N50	1392
N75	1105
L50	3
L75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 6 part
Unaligned length	7870
Genome fraction (%)	0.014
Duplication ratio	2.373
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1737.45
# indels per 100 kbp	0.00
Largest alignment	180
Total aligned length	664
NGA50	-
