Assembly	final.contigs
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	13706
Total length (>= 5000 bp)	8671
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	8671
Total length	15726
Reference length	2206361
GC (%)	54.92
Reference GC (%)	49.30
N50	8671
N75	2379
L50	1
L75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 4 part
Unaligned length	14099
Genome fraction (%)	0.024
Duplication ratio	3.041
# N's per 100 kbp	0.00
# mismatches per 100 kbp	2616.82
# indels per 100 kbp	373.83
Largest alignment	278
Total aligned length	688
NGA50	-
