Assemblies	final.contigs
Alcanivorax_jadensis_T9	82
Dehalogenimonas_lykanthroporepellens_BL-DC-9	-
Flavobacterium_sp._SCGC_AAA160-P02	87
Formosa_algae	94
Ilumatobacter_fluminis	225
Janibacter_sp._HTCC2649	277
Lautropia_mirabilis_ATCC_51599	77
Legionella_santicrucis	248
Luminiphilus_syltensis_NOR5-1B	538
Marinimicrobium_agarilyticum_DSM_16975	77
Melissococcus_plutonius_DAT561	-
Methanococcoides_methylutens	-
Microbulbifer_yueqingensis	180
Oceanicola_granulosus_HTCC2516	102
Planctomyces_brasiliensis_DSM_5305	77
Planctomyces_maris_DSM_8797	78
Rhodobacteraceae_bacterium_KLH11	516
Ruegeria_pomeroyi	503
Serratia_symbiotica	77
Sporosarcina_sp._EUR3_2.2.2	-
Synechococcus_sp._WH_7803	3271
Syntrophus_aciditrophicus	94
Thalassolituus_oleivorans_R6-15	77
Thalassospira_xiamenensis_M-5___DSM_17429	94
Thermoplasmatales_archaeon_A-plasma	-
gamma_proteobacterium_SCGC_AB-629-P17	687
marine_gamma_proteobacterium_HTCC2080	394
